Datum;Grund
01.01.2024;Neujahr
06.01.2024;Heilige drei Könige
29.03.2024;Karfreitag
01.04.2024;Ostermontag
01.05.2024;Tag der Arbeit
09.05.2024;Christi Himmelfahrt
19.05.2024;Pfingstsonntag
20.05.2024;Pfingstmontag
30.05.2024;Fronleichnam
03.10.2024;Tag der Deutschen Einheit
04.10.2024;Tag der Deutschen Einheit
05.10.2024;Tag der Deutschen Einheit
06.10.2024;Tag der Deutschen Einheit
01.11.2024;Allerheiligen
21.12.2024;Weihnachten
22.12.2024;Weihnachten
23.12.2024;Weihnachten
24.12.2024;Weihnachten
25.12.2024;Weihnachten
26.12.2024;Weihnachten
27.12.2024;Weihnachten
28.12.2024;Weihnachten
29.12.2024;Weihnachten
30.12.2024;Weihnachten
31.12.2024;Weihnachten
01.01.2025;Neujahr
01.01.2025;Weihnachten
02.01.2025;Weihnachten
03.01.2025;Weihnachten
04.01.2025;Weihnachten
05.01.2025;Weihnachten
06.01.2025;Heilige drei Könige
06.01.2025;Weihnachten
18.04.2025;Karfreitag
18.04.2025;Osterferien
19.04.2025;Osterferien
20.04.2025;Osterferien
21.04.2025;Ostermontag
21.04.2025;Osterferien
22.04.2025;Osterferien
23.04.2025;Osterferien
24.04.2025;Osterferien
25.04.2025;Osterferien
26.04.2025;Osterferien
27.04.2025;Osterferien
01.05.2025;Tag der Arbeit
29.05.2025;Christi Himmelfahrt
29.05.2025;Christi Himmelfahrt
30.05.2025;Christi Himmelfahrt
31.05.2025;Christi Himmelfahrt
01.06.2025;Christi Himmelfahrt
07.06.2025;Pfingstferien
08.06.2025;Pfingstsonntag
08.06.2025;Pfingstferien
09.06.2025;Pfingstmontag
09.06.2025;Pfingstferien
10.06.2025;Pfingstferien
11.06.2025;Pfingstferien
12.06.2025;Pfingstferien
13.06.2025;Pfingstferien
14.06.2025;Pfingstferien
15.06.2025;Pfingstferien
19.06.2025;Fronleichnam
02.08.2025;Sommerferien
03.08.2025;Sommerferien
04.08.2025;Sommerferien
05.08.2025;Sommerferien
06.08.2025;Sommerferien
07.08.2025;Sommerferien
08.08.2025;Sommerferien
09.08.2025;Sommerferien
10.08.2025;Sommerferien
11.08.2025;Sommerferien
12.08.2025;Sommerferien
13.08.2025;Sommerferien
14.08.2025;Sommerferien
15.08.2025;Sommerferien
16.08.2025;Sommerferien
17.08.2025;Sommerferien
18.08.2025;Sommerferien
19.08.2025;Sommerferien
20.08.2025;Sommerferien
21.08.2025;Sommerferien
22.08.2025;Sommerferien
23.08.2025;Sommerferien
24.08.2025;Sommerferien
03.10.2025;Tag der Deutschen Einheit
01.11.2025;Allerheiligen
